regression,score,random_state,embedding,sample_size,pearson_train,pearson_test,spearman_train,spearman_test,RMSE_train,RMSE_test,SDR_train,SDR_test
ridge,solubility_score,0,onehot,20,0.996218,0.0767636,0.993985,0.0806588,0.049917,0.330321,0.812304,0.208079
ridge,zsurf_score,0,onehot,20,0.96773,0.0800426,0.968421,0.0803483,0.0745158,0.116957,0.330206,0.0838285
ridge,solubility_score,0,onehot,50,0.999261,0.244123,0.99904,0.244392,0.0224043,0.318389,0.932902,0.272447
ridge,zsurf_score,0,onehot,50,0.971805,0.249344,0.959664,0.293283,0.0674487,0.114506,0.430204,0.144533
ridge,solubility_score,0,onehot,100,0.996638,0.330244,0.99514,0.311315,0.0401767,0.311318,0.891898,0.382405
ridge,zsurf_score,0,onehot,100,0.997044,0.285149,0.996796,0.321919,0.0134168,0.114209,0.895578,0.361909
ridge,solubility_score,0,onehot,200,0.999937,0.479726,0.999878,0.458765,0.00461064,0.28629,0.989473,0.517482
ridge,zsurf_score,0,onehot,200,0.966025,0.354667,0.968304,0.390171,0.0451201,0.110192,0.653653,0.306818
ridge,solubility_score,0,onehot,500,0.982843,0.593195,0.98367,0.578928,0.0720461,0.264504,0.824121,0.503335
ridge,zsurf_score,0,onehot,500,0.951854,0.406542,0.953772,0.430536,0.046359,0.107324,0.689497,0.436593
ridge,solubility_score,0,onehot,638,0.983747,0.610569,0.983222,0.602821,0.0696336,0.259206,0.838909,0.565632
ridge,zsurf_score,0,onehot,638,0.952512,0.436201,0.952382,0.460366,0.0449156,0.105861,0.70486,0.483378
ridge,solubility_score,0,onehot,650,0.983836,0.61428,0.982927,0.606024,0.0697193,0.258324,0.840032,0.571175
ridge,zsurf_score,0,onehot,650,0.961841,0.438259,0.961479,0.460467,0.039089,0.106112,0.755262,0.523713
ridge,solubility_score,0,onehot,800,0.986715,0.640642,0.985557,0.635138,0.0591664,0.250236,0.882521,0.647774
ridge,zsurf_score,0,onehot,800,0.943373,0.482976,0.944085,0.504786,0.0481257,0.102863,0.695482,0.516752
ridge,solubility_score,0,onehot,1000,0.990674,0.688724,0.98965,0.680922,0.0459406,0.237109,0.93372,0.752633
ridge,zsurf_score,0,onehot,1000,0.940329,0.516583,0.939774,0.55034,0.0473174,0.100564,0.704723,0.553019
ridge,solubility_score,0,onehot,1500,0.984622,0.759797,0.982663,0.758222,0.0558389,0.212564,0.935309,0.802243
ridge,zsurf_score,0,onehot,1500,0.931844,0.569732,0.928164,0.595084,0.0475578,0.0965879,0.725603,0.613374
ridge,solubility_score,0,onehot,2000,0.977499,0.792296,0.974774,0.797135,0.0681087,0.199064,0.903206,0.792661
ridge,zsurf_score,0,onehot,2000,0.922322,0.585106,0.919993,0.616069,0.0482387,0.095338,0.734365,0.636902
ridge,solubility_score,0,onehot,3000,0.97135,0.848461,0.967451,0.855057,0.0753542,0.172339,0.911856,0.849578
ridge,zsurf_score,0,onehot,3000,0.898563,0.656343,0.898257,0.689792,0.0535696,0.0885521,0.70393,0.637621
ridge,solubility_score,0,onehot,4000,0.965883,0.874661,0.96219,0.877409,0.081216,0.157807,0.916983,0.867353
ridge,zsurf_score,0,onehot,4000,0.890634,0.697783,0.889869,0.72661,0.0542267,0.0841209,0.720684,0.66712
ridge,solubility_score,0,onehot,6000,0.958313,0.902755,0.955048,0.898903,0.0900522,0.140092,0.922671,0.890814
ridge,zsurf_score,0,onehot,6000,0.875663,0.75688,0.876976,0.781346,0.0562077,0.0768157,0.740866,0.717544
ridge,solubility_score,0,onehot,8000,0.953144,0.913411,0.950469,0.911649,0.0950637,0.132459,0.938518,0.92199
ridge,zsurf_score,0,onehot,8000,0.864843,0.771529,0.867012,0.793728,0.0577842,0.0747297,0.754009,0.74052
ridge,solubility_score,0,esm1b,20,0.923989,0.278403,0.905263,0.268251,0.13926,0.315549,0.504727,0.275598
ridge,zsurf_score,0,esm1b,20,0.935054,0.202283,0.92782,0.215217,0.067628,0.115459,0.423779,0.273535
ridge,solubility_score,0,esm1b,50,0.948436,0.51826,0.935846,0.505077,0.12647,0.283074,0.653647,0.445409
ridge,zsurf_score,0,esm1b,50,0.89658,0.436166,0.859112,0.464066,0.071939,0.106985,0.448486,0.31713
ridge,solubility_score,0,esm1b,100,0.979945,0.718166,0.975146,0.70869,0.067693,0.229149,0.877524,0.716253
ridge,zsurf_score,0,esm1b,100,0.960441,0.548124,0.951035,0.581804,0.0349744,0.0997046,0.7801,0.60125
ridge,solubility_score,0,esm1b,200,0.986248,0.789558,0.984881,0.781158,0.0523736,0.200318,0.929884,0.836656
ridge,zsurf_score,0,esm1b,200,0.914107,0.632355,0.911786,0.653479,0.0505152,0.0914144,0.710091,0.647457
ridge,solubility_score,0,esm1b,500,0.959926,0.871894,0.954533,0.865034,0.0847265,0.159523,0.902061,0.848552
ridge,zsurf_score,0,esm1b,500,0.895791,0.684535,0.900954,0.690846,0.053477,0.0855751,0.757668,0.709264
ridge,solubility_score,0,esm1b,638,0.958137,0.876056,0.951362,0.86895,0.0878896,0.157044,0.905122,0.860177
ridge,zsurf_score,0,esm1b,638,0.868412,0.707683,0.871993,0.72126,0.059285,0.0829891,0.718319,0.680423
ridge,solubility_score,0,esm1b,650,0.958065,0.877289,0.951372,0.870619,0.0884634,0.156239,0.905056,0.865935
ridge,zsurf_score,0,esm1b,650,0.869376,0.709445,0.874336,0.722322,0.0588616,0.0828029,0.719933,0.680267
ridge,solubility_score,0,esm1b,800,0.9644,0.888231,0.95973,0.882207,0.0818778,0.149613,0.926958,0.899874
ridge,zsurf_score,0,esm1b,800,0.875689,0.728685,0.878263,0.741596,0.0578999,0.0804421,0.75295,0.757058
ridge,solubility_score,0,esm1b,1000,0.955908,0.897837,0.951844,0.890763,0.0923529,0.143442,0.912402,0.879394
ridge,zsurf_score,0,esm1b,1000,0.869221,0.737689,0.87136,0.748813,0.0578476,0.0792572,0.761703,0.751261
ridge,solubility_score,0,esm1b,1500,0.951298,0.913219,0.949165,0.906383,0.0954661,0.133454,0.915473,0.873466
ridge,zsurf_score,0,esm1b,1500,0.86575,0.764583,0.864866,0.774689,0.057974,0.0756445,0.774153,0.757047
ridge,solubility_score,0,esm1b,2000,0.948697,0.917377,0.945647,0.911435,0.096793,0.130274,0.916444,0.882602
ridge,zsurf_score,0,esm1b,2000,0.859902,0.774273,0.861372,0.78463,0.0580104,0.074272,0.779484,0.76467
ridge,solubility_score,0,esm1b,3000,0.951525,0.923593,0.948107,0.916728,0.0947504,0.124861,0.934407,0.912152
ridge,zsurf_score,0,esm1b,3000,0.851474,0.790123,0.858278,0.801948,0.0589793,0.0719458,0.785356,0.773878
ridge,solubility_score,0,esm1b,4000,0.95129,0.926694,0.947603,0.91953,0.0951055,0.122433,0.937029,0.917051
ridge,zsurf_score,0,esm1b,4000,0.84907,0.799032,0.852811,0.811588,0.0593684,0.0705924,0.790915,0.77731
ridge,solubility_score,0,esm1b,6000,0.949708,0.932796,0.945281,0.925277,0.0979908,0.117345,0.939092,0.925966
ridge,zsurf_score,0,esm1b,6000,0.849819,0.8126,0.854273,0.825221,0.0591995,0.0684063,0.817427,0.805234
ridge,solubility_score,0,esm1b,8000,0.948212,0.934284,0.943939,0.927796,0.0997364,0.116054,0.939539,0.93047
ridge,zsurf_score,0,esm1b,8000,0.844384,0.818665,0.846528,0.829789,0.0602792,0.0674179,0.819171,0.803559
ridge,solubility_score,0,nanobert,20,0.907266,0.0450653,0.876692,0.0317714,0.130976,0.348909,0.578655,0.381873
ridge,zsurf_score,0,nanobert,20,0.872705,0.166304,0.879699,0.194558,0.0903688,0.11575,0.199819,0.195872
